agent_id,team,tenure_months,skill_tier,base_capability,volume_tendency
A181,Alpha,55,Senior,0.5124750611567465,0.7070298950457968
A182,Gamma,11,Junior,0.2490365239699262,0.45756507965753934
A183,Beta,28,Mid,0.36694808618906455,0.3748987120830798
A184,Gamma,37,Senior,0.4245964872955048,0.6033002883680049
A185,Alpha,9,Junior,0.3468545406035263,0.1398130599924416
A186,Alpha,19,Mid,0.31426141867193036,0.45949389393491713
A187,Beta,1,Junior,0.15,0.4510847174833744
A188,Gamma,8,Junior,0.45126447654984925,0.47703610287440623
A189,Gamma,16,Mid,0.3400861475369622,0.6095701512369505
A190,Beta,7,Junior,0.4623270918916438,0.24362263685686988
A191,Gamma,74,Expert,0.6171744618258014,0.8692913414666031
A192,Gamma,6,Junior,0.3788413245169404,0.7400826456264682
A193,Alpha,14,Mid,0.40269917143767237,0.5881414387471137
A194,Gamma,22,Mid,0.4292871900099696,0.148778862217125
A195,Gamma,63,Senior,0.6136322063301836,0.7542935593581711
A196,Beta,6,Junior,0.33548919896919505,0.3371255089771354
A197,Beta,50,Senior,0.3279206182350669,0.9
A198,Delta,20,Mid,0.21982356250375232,0.3416033388191895
A199,Alpha,9,Junior,0.4211178911594601,0.3102699410713611
A200,Gamma,29,Mid,0.424251988496935,0.48774968280532194
